order,rung,added,n_sources,sources,model_key,task,dataset,target,metric,value,primary,entry_rung,rel_to_entry,in_merge
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,covid_political,,accuracy,0.8500833333333333,0,4,-3,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,covid_political,,f1,0.8487854080860722,0,4,-3,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,covid_political,,roc_auc,0.9053977916666667,1,4,-3,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,election2020,,accuracy,0.972,0,5,-4,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,election2020,,f1,0.9723865877712031,0,5,-4,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,election2020,,roc_auc,0.981414,1,5,-4,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,twibot20,,accuracy,0.59025,0,7,-6,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,twibot20,,f1,0.5771050141911069,0,7,-6,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,twibot20,,roc_auc,0.6315745694444445,1,7,-6,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,ukr_rus_suspended,,accuracy,0.518,0,6,-5,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,ukr_rus_suspended,,f1,0.49156118143459915,0,6,-5,0
A,1,ukr_rus,1,ukr_rus,ukr_only_nm,pl,ukr_rus_suspended,,roc_auc,0.5119,1,6,-5,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,covid_political,,accuracy,0.83775,0,4,-2,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,covid_political,,f1,0.8334331422705107,0,4,-2,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,covid_political,,roc_auc,0.897272513888889,1,4,-2,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,election2020,,accuracy,0.967,0,5,-3,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,election2020,,f1,0.9674234945705824,0,5,-3,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,election2020,,roc_auc,0.982332,1,5,-3,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,twibot20,,accuracy,0.594,0,7,-5,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,twibot20,,f1,0.5962207856787668,0,7,-5,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,twibot20,,roc_auc,0.6269567638888889,1,7,-5,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,ukr_rus_suspended,,accuracy,0.531,0,6,-4,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,ukr_rus_suspended,,f1,0.5209397344228804,0,6,-4,0
A,2,covid,2,ukr_rus covid,merged_ukr_rus_covid_nm_wb,pl,ukr_rus_suspended,,roc_auc,0.529814,1,6,-4,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,covid_political,,accuracy,0.8388333333333333,0,4,-1,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,covid_political,,f1,0.841006247944755,0,4,-1,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,covid_political,,roc_auc,0.9043437361111111,1,4,-1,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,election2020,,accuracy,0.97,0,5,-2,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,election2020,,f1,0.9703557312252964,0,5,-2,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,election2020,,roc_auc,0.9827980000000001,1,5,-2,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,twibot20,,accuracy,0.5729166666666666,0,7,-4,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,twibot20,,f1,0.582348626843778,0,7,-4,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,twibot20,,roc_auc,0.6015085972222223,1,7,-4,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,ukr_rus_suspended,,accuracy,0.503,0,6,-3,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,ukr_rus_suspended,,f1,0.5074331020812686,0,6,-3,0
A,3,midterm,3,ukr_rus covid midterm,merged_ukr_rus_covid_midterm_nm_wb,pl,ukr_rus_suspended,,roc_auc,0.509926,1,6,-3,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,covid_political,,accuracy,0.8693333333333333,0,4,0,1
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,covid_political,,f1,0.8694203864090606,0,4,0,1
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,covid_political,,roc_auc,0.9214825555555555,1,4,0,1
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,election2020,,accuracy,0.974,0,5,-1,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,election2020,,f1,0.9744094488188977,0,5,-1,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,election2020,,roc_auc,0.9826099999999999,1,5,-1,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,twibot20,,accuracy,0.57625,0,7,-3,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,twibot20,,f1,0.5852703694641547,0,7,-3,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,twibot20,,roc_auc,0.60445275,1,7,-3,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,ukr_rus_suspended,,accuracy,0.494,0,6,-2,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,ukr_rus_suspended,,f1,0.505859375,0,6,-2,0
A,4,covid_political,4,ukr_rus covid midterm covid_political,nm_ladder_4src,pl,ukr_rus_suspended,,roc_auc,0.4929500000000001,1,6,-2,0
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,covid_political,,accuracy,0.8475833333333334,0,4,1,1
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,covid_political,,f1,0.8388404264692925,0,4,1,1
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,covid_political,,roc_auc,0.9189982638888888,1,4,1,1
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,election2020,,accuracy,0.971,0,5,0,1
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,election2020,,f1,0.9714285714285714,0,5,0,1
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,election2020,,roc_auc,0.9832459999999998,1,5,0,1
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,twibot20,,accuracy,0.5775,0,7,-2,0
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,twibot20,,f1,0.6045858680393075,0,7,-2,0
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,twibot20,,roc_auc,0.612854375,1,7,-2,0
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,ukr_rus_suspended,,accuracy,0.488,0,6,-1,0
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,ukr_rus_suspended,,f1,0.4786150712830957,0,6,-1,0
A,5,election2020,5,ukr_rus covid midterm covid_political election2020,nm_ladder_5src,pl,ukr_rus_suspended,,roc_auc,0.49465200000000004,1,6,-1,0
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,covid_political,,accuracy,0.8729166666666667,0,4,2,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,covid_political,,f1,0.8731597770939034,0,4,2,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,covid_political,,roc_auc,0.9272804166666667,1,4,2,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,election2020,,accuracy,0.971,0,5,1,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,election2020,,f1,0.9714285714285714,0,5,1,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,election2020,,roc_auc,0.984342,1,5,1,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,twibot20,,accuracy,0.5785833333333333,0,7,-1,0
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,twibot20,,f1,0.6022807707432166,0,7,-1,0
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,twibot20,,roc_auc,0.6077860138888889,1,7,-1,0
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,ukr_rus_suspended,,accuracy,0.463,0,6,0,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,ukr_rus_suspended,,f1,0.4548223350253807,0,6,0,1
A,6,ukr_rus_suspended,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_6src,pl,ukr_rus_suspended,,roc_auc,0.46816599999999997,1,6,0,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,covid_political,,accuracy,0.8694166666666666,0,4,3,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,covid_political,,f1,0.8688593187714453,0,4,3,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,covid_political,,roc_auc,0.9230669305555557,1,4,3,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,election2020,,accuracy,0.968,0,5,2,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,election2020,,f1,0.9685658153241651,0,5,2,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,election2020,,roc_auc,0.9816,1,5,2,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,twibot20,,accuracy,0.5905,0,7,0,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,twibot20,,f1,0.5908409658617818,0,7,0,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,twibot20,,roc_auc,0.635583361111111,1,7,0,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,ukr_rus_suspended,,accuracy,0.519,0,6,1,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,ukr_rus_suspended,,f1,0.5036119711042312,0,6,1,1
A,7,twibot20,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_7src,pl,ukr_rus_suspended,,roc_auc,0.524822,1,6,1,1
A,8,cp_hk,8,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,merged_ukr_rus_covid_midterm_all8_nm_wb,pl,covid_political,,accuracy,0.8715833333333334,0,4,4,1
A,8,cp_hk,8,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,merged_ukr_rus_covid_midterm_all8_nm_wb,pl,covid_political,,f1,0.8696828752642706,0,4,4,1
A,8,cp_hk,8,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,merged_ukr_rus_covid_midterm_all8_nm_wb,pl,covid_political,,roc_auc,0.9266721805555556,1,4,4,1
A,8,cp_hk,8,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,merged_ukr_rus_covid_midterm_all8_nm_wb,pl,election2020,,accuracy,0.97,0,5,3,1
A,8,cp_hk,8,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,merged_ukr_rus_covid_midterm_all8_nm_wb,pl,election2020,,f1,0.9706457925636007,0,5,3,1
A,8,cp_hk,8,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,merged_ukr_rus_covid_midterm_all8_nm_wb,pl,election2020,,roc_auc,0.984164,1,5,3,1
