model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
merged_ukr_rus_covid_nm_10k,covid_political,3,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_covid_political_pl_3shot_13_06_2026_15_27_19,0.9041795138888888,0.83575,0.828831958315241
merged_ukr_rus_covid_nm_10k,covid_political,0,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_covid_political_pl_0shot_13_06_2026_15_27_19,0.23003673611111114,0.36883333333333335,0.25933893995697244
merged_ukr_rus_covid_nm_10k,covid_political,10,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_covid_political_pl_10shot_13_06_2026_15_27_35,0.9276539027777777,0.87125,0.8605973111973293
merged_ukr_rus_covid_nm_60k,covid_political,0,,classification,test,eval_merged_ukr_rus_covid_nm_60k_to_covid_political_pl_0shot_13_06_2026_15_27_38,0.2485650972222222,0.28175,0.3688026363969242
merged_ukr_rus_covid_nm_60k,covid_political,10,,classification,test,eval_merged_ukr_rus_covid_nm_60k_to_covid_political_pl_10shot_13_06_2026_15_28_02,0.8954139999999999,0.8544166666666667,0.8533288556796239
merged_ukr_rus_covid_nm_60k,covid_political,3,,classification,test,eval_merged_ukr_rus_covid_nm_60k_to_covid_political_pl_3shot_13_06_2026_15_28_03,0.8581797916666667,0.7945833333333333,0.7977020927369717
merged_ukr_rus_covid_nm_10k,election2020,0,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_election2020_pl_0shot_13_06_2026_15_28_22,0.11502400000000002,0.219,0.12541993281075028
merged_ukr_rus_covid_nm_10k,election2020,3,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_election2020_pl_3shot_13_06_2026_15_28_27,0.987482,0.976,0.9761904761904762
merged_ukr_rus_covid_nm_10k,election2020,10,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_election2020_pl_10shot_13_06_2026_15_28_36,0.979998,0.974,0.9744597249508841
merged_ukr_rus_covid_nm_60k,election2020,0,,classification,test,eval_merged_ukr_rus_covid_nm_60k_to_election2020_pl_0shot_13_06_2026_15_28_57,0.186972,0.268,0.34759358288770054
merged_ukr_rus_covid_nm_60k,election2020,10,,classification,test,eval_merged_ukr_rus_covid_nm_60k_to_election2020_pl_10shot_13_06_2026_15_29_58,0.981584,0.975,0.9754178957718781
merged_ukr_rus_covid_nm_60k,election2020,3,,classification,test,eval_merged_ukr_rus_covid_nm_60k_to_election2020_pl_3shot_13_06_2026_15_29_58,0.989636,0.974,0.9741035856573705
merged_ukr_rus_covid_nm_10k,ukr_rus_suspended,0,,classification,test,eval_merged_ukr_rus_covid_nm_10k_to_ukr_rus_suspended_pl_0shot_13_06_2026_15_30_30,0.48627,0.5,0.6666666666666666
