condition,excluded,seen,unseen
baseline,covid_political,0.7849199730857879,0.9040681831597221
baseline,election2020,0.7723410204614164,0.9851997500000002
baseline,facebook_page_reference,0.8303096525607639,0.578786377271911
baseline,twibot20,0.8148233256914512,0.5879693550347223
baseline,ukr_rus_suspended,0.876619331298641,0.48179349999999993
film8,covid_political,0.7800611025083812,0.9101419496527778
film8,election2020,0.778509239901371,0.9858537500000001
film8,facebook_page_reference,0.8284329466145833,0.56432292891523
film8,twibot20,0.8166193911376018,0.5498059149305556
film8,ukr_rus_suspended,0.8811061098060347,0.49338525000000005
task8,covid_political,0.7654044417512272,0.9038127499999999
task8,election2020,0.7639789044203484,0.9855317500000002
task8,facebook_page_reference,0.8360575605468751,0.5738327892690372
task8,twibot20,0.8206188723501856,0.6063167673611112
task8,ukr_rus_suspended,0.8774967575707915,0.48073387500000003
