predictor,kind,graphs,mean_target_spearman_auc,auc_graph_permutation_p_two_sided,targets_same_sign_as_mean,top1_hits,top1_rate,mean_regret,mean_selected_rank
feature_effective_dim,source,9,0.7804232804232805,0.0095,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
n_strongly_connected,source,9,0.7433862433862435,0.0125,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
n_nodes,source,9,0.7433862433862435,0.02,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
degree_assortativity,source,9,0.7328042328042329,0.0205,9,0,0.0,0.04069002760033333,2.888888888888889
in_degree_max,source,9,0.7116402116402117,0.02,9,4,0.4444444444444444,0.0034759999999999978,1.6666666666666667
largest_scc_frac,source,9,0.5687830687830688,0.0765,9,0,0.0,0.1265066467432222,5.444444444444445
in_degree_gini,source,9,0.4894179894179895,0.157,9,0,0.0,0.16602934985633333,5.888888888888889
n_edges,source,9,0.48148148148148157,0.1655,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
dirichlet_energy,source,9,0.46031746031746046,0.181,9,4,0.4444444444444444,0.0034759999999999978,1.6666666666666667
missing_bio_rate,source,9,0.42978298034692713,0.204,8,0,0.0,0.16602934985633333,5.888888888888889
reciprocity,source,9,0.3952166664313755,0.26,8,0,0.0,0.1265066467432222,5.444444444444445
n_weakly_connected,source,9,0.3756613756613757,0.269,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
largest_wcc_frac,source,9,0.3068783068783069,0.363,9,0,0.0,0.20505889948911107,7.111111111111111
feature_norm_mean,source,9,0.1507936507936508,0.686,7,0,0.0,0.13861620229877777,5.777777777777778
in_degree_mean,source,9,0.08730158730158731,0.8045,6,0,0.0,0.20505889948911107,7.111111111111111
out_degree_mean,source,9,0.08730158730158731,0.8005,6,0,0.0,0.20505889948911107,7.111111111111111
out_degree_max,source,9,-0.19312169312169314,0.592,7,0,0.0,0.04069002760033333,2.888888888888889
edge_bio_coverage,source,9,-0.275787710240446,0.4385,7,0,0.0,0.17619679430077775,6.333333333333333
feature_homophily_random,source,9,-0.34391534391534395,0.3145,7,0,0.0,0.10154332876066668,4.555555555555555
feature_homophily,source,9,-0.46031746031746046,0.168,9,4,0.4444444444444444,0.0034759999999999978,1.6666666666666667
out_degree_gini,source,9,-0.470899470899471,0.1615,9,0,0.0,0.08015627331311109,3.7777777777777777
isolated_fraction,source,9,-0.48683284157297824,0.156,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
density,source,9,-0.6216931216931217,0.067,9,7,0.7777777777777778,0.0004928128671111143,1.2222222222222223
avg_clustering_approx,source,9,-0.7751322751322752,0.0105,9,6,0.6666666666666666,0.010941701756000004,1.4444444444444444
