auxiliary_loss_active,auxiliary_parameters,frozen_label_parameters,initialization_seconds,job_seconds,loop_seconds,model_id,model_parameters,optimizer_parameter_slots,peak_allocated_bytes,physical_gpu,selected_step,stop_reason,training_and_cache_seconds,training_steps,validation_inference_seconds
False,263168,256000,3.6368980407714844,528.2886312007904,503.8020570278168,nmi_baseline_r8_s0,1640514,1647682,491022336,1,8000,cap,524.6517331600189,10000,21.682652711868286
False,263168,256000,3.667538642883301,559.4307940006256,534.2219548225403,nmi_exposure_r8_s0,1640514,1647682,487729152,1,10000,validation_plateau,555.7632553577423,10000,25.085519313812256
False,263168,256000,2.914876937866211,518.1892094612122,493.817200422287,nmi_schedule_r8_s0,1640514,1647682,491435008,1,6000,validation_plateau,515.274332523346,10000,22.889610528945923
False,263168,256000,1.553529977798462,515.4151794910431,493.4671142101288,nmi_composition_r8_s0,1640514,1647682,459477504,1,8000,cap,513.8616495132446,10000,22.358005046844482
False,263168,256000,2.1966803073883057,439.9385550022125,416.2188241481781,nmi_centers_r8_s0,1640514,1647682,504978432,2,4000,validation_plateau,437.7418746948242,8000,17.380239248275757
False,263168,256000,2.869338274002075,326.45955538749695,290.00408601760864,nmi_eligibility_r8_s0,1640514,1647682,489968128,2,2000,validation_plateau,323.5902171134949,6000,13.88248586654663
False,263168,256000,3.650242567062378,525.6331472396851,501.1085286140442,nmi_positives_r8_s0,1640514,1647682,490660864,2,10000,cap,521.9829046726227,10000,22.18530249595642
False,263168,256000,3.3873612880706787,534.6051037311554,510.0269341468811,nmi_negatives_r8_s0,1640514,1647682,507110912,2,10000,validation_plateau,531.2177424430847,10000,22.26941227912903
False,263168,256000,3.4945483207702637,636.3969647884369,611.6852881908417,nmi_context_r8_s0,1640514,1647682,512322048,3,8000,cap,632.9024164676666,10000,26.59328317642212
False,263168,256000,2.8639912605285645,625.4913020133972,601.9804792404175,nmi_optimization_r8_s0,1640514,1647682,495249920,3,10000,cap,622.6273107528687,10000,27.110608339309692
False,263168,256000,3.3904600143432617,625.0894141197205,600.6144773960114,nmi_alignment_r8_s0,1640514,1647682,491022336,3,10000,cap,621.6989541053772,10000,27.803187608718872
False,263168,256000,3.379096269607544,442.124972820282,417.80405831336975,nmi_sharing_r8_s0,1654338,1661506,551278592,3,2000,validation_plateau,438.74587655067444,6000,14.003105163574219
False,656640,512000,1.2200231552124023,552.4421820640564,530.094818353653,nmi_capacity_r8_s0,4860034,5004674,805495296,2,10000,cap,551.222158908844,10000,27.428549766540527
