consumed_episodes,exposure_episodes,model_id,source,training_steps
10000,1216.0,nmi_baseline_r8_s0,ukr_rus,10000
10000,1232.0,nmi_baseline_r8_s0,covid,10000
10000,1208.0,nmi_baseline_r8_s0,midterm,10000
10000,1280.0,nmi_baseline_r8_s0,covid_political,10000
10000,1254.0,nmi_baseline_r8_s0,election2020,10000
10000,1294.0,nmi_baseline_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_baseline_r8_s0,twibot20,10000
10000,1266.0,nmi_baseline_r8_s0,cp_hk,10000
10000,1250.0,nmi_baseline_r8_s0,facebook_page_reference,10000
10000,2969.0,nmi_exposure_r8_s0,ukr_rus,10000
10000,6733.0,nmi_exposure_r8_s0,covid,10000
10000,115.0,nmi_exposure_r8_s0,midterm,10000
10000,23.0,nmi_exposure_r8_s0,covid_political,10000
10000,26.0,nmi_exposure_r8_s0,election2020,10000
10000,17.0,nmi_exposure_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_exposure_r8_s0,twibot20,10000
10000,80.0,nmi_exposure_r8_s0,cp_hk,10000
10000,37.0,nmi_exposure_r8_s0,facebook_page_reference,10000
10000,1280.0,nmi_schedule_r8_s0,ukr_rus,10000
10000,1280.0,nmi_schedule_r8_s0,covid,10000
10000,1280.0,nmi_schedule_r8_s0,midterm,10000
10000,1280.0,nmi_schedule_r8_s0,covid_political,10000
10000,1232.0,nmi_schedule_r8_s0,election2020,10000
10000,1216.0,nmi_schedule_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_schedule_r8_s0,twibot20,10000
10000,1216.0,nmi_schedule_r8_s0,cp_hk,10000
10000,1216.0,nmi_schedule_r8_s0,facebook_page_reference,10000
10000,1248.766666666719,nmi_composition_r8_s0,ukr_rus,10000
10000,1245.2000000000514,nmi_composition_r8_s0,covid,10000
10000,1244.0333333333901,nmi_composition_r8_s0,midterm,10000
10000,1259.7333333333902,nmi_composition_r8_s0,covid_political,10000
10000,1246.8000000000548,nmi_composition_r8_s0,election2020,10000
10000,1249.1333333333923,nmi_composition_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_composition_r8_s0,twibot20,10000
10000,1251.4000000000483,nmi_composition_r8_s0,cp_hk,10000
10000,1254.933333333377,nmi_composition_r8_s0,facebook_page_reference,10000
8000,1023.0,nmi_centers_r8_s0,ukr_rus,8000
8000,1043.0,nmi_centers_r8_s0,covid,8000
8000,972.0,nmi_centers_r8_s0,midterm,8000
8000,1014.0,nmi_centers_r8_s0,covid_political,8000
8000,987.0,nmi_centers_r8_s0,election2020,8000
8000,972.0,nmi_centers_r8_s0,ukr_rus_suspended,8000
8000,0.0,nmi_centers_r8_s0,twibot20,8000
8000,1023.0,nmi_centers_r8_s0,cp_hk,8000
8000,966.0,nmi_centers_r8_s0,facebook_page_reference,8000
6000,757.0,nmi_eligibility_r8_s0,ukr_rus,6000
6000,777.0,nmi_eligibility_r8_s0,covid,6000
6000,799.0,nmi_eligibility_r8_s0,midterm,6000
6000,757.0,nmi_eligibility_r8_s0,covid_political,6000
6000,735.0,nmi_eligibility_r8_s0,election2020,6000
6000,714.0,nmi_eligibility_r8_s0,ukr_rus_suspended,6000
6000,0.0,nmi_eligibility_r8_s0,twibot20,6000
6000,738.0,nmi_eligibility_r8_s0,cp_hk,6000
6000,723.0,nmi_eligibility_r8_s0,facebook_page_reference,6000
10000,1276.0,nmi_positives_r8_s0,ukr_rus,10000
10000,1281.0,nmi_positives_r8_s0,covid,10000
10000,1298.0,nmi_positives_r8_s0,midterm,10000
10000,1243.0,nmi_positives_r8_s0,covid_political,10000
10000,1269.0,nmi_positives_r8_s0,election2020,10000
10000,1231.0,nmi_positives_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_positives_r8_s0,twibot20,10000
10000,1196.0,nmi_positives_r8_s0,cp_hk,10000
10000,1206.0,nmi_positives_r8_s0,facebook_page_reference,10000
10000,1273.0,nmi_negatives_r8_s0,ukr_rus,10000
